source,reference,hypothesis
ජිම් නම් මේක ගැන දන්නවා ඒත් මම හදන්නෙ ඔයාව විශ්වාස සමූහයට ගන්න,"Jim already knows about this, but I'm gonna bring you in the circle of trust.","Jim knows about this, but I'm trying to get you into the trust."
नम लक कुञ्जी सक्रिय पारिएको छ ।,The Num Lock key has been activated.,Wet lock key activated.
මම කියන්නේ සේරම විකාරයක්!,I say it's nothing!,"I mean, it's all bullshit!"
පසුව පිටසක්වල ජීවින් පැමිණියා.,And then the aliens came.,Then the aliens came.
"පේන විදිය, මේ මිනිස්සුන්ට ඔයාව හොදින් පෙනේවි.","Well, supposably, these bald-bodies find you attractive.","Apparently, these people will see you fine."
ඒ වගේම පරිවර්තනය වුනු ගැහැණු කෙනාවත් අපි දන්නවා.,And we do know the woman who was changed.,And we know the woman who was transformed.
च्यानल पहिले नै माथि छ।,Channel is already on top.,The channel is already up.
- සහකම්පනය.මනුෂ්‍යත්වය.,- Empathy. Humanity.,- Compassion. Humanity.
සම්මුඛ පරීක්ෂණය හෙට.,"Well, the interview's tomorrow.",Interview tomorrow.
යාර විසි පහයි!,Twenty-five yards!,25 yards!
ඊටපස්සෙ ඔහු මොනවටද කැමති උනේ?,What was he like back then?,Then what did he like?
මමයි ඒක කරේ..,I did.,I did it.
අපි මොනවද හරියටම කරන්න යන්නේ BACKDOOR PILOT විකාශය වූ දිනය : 2008 පෙබරවාරි 17,And that's exactly what we're gonna do.,"What exactly are we going to do when BACKDOOR PILOT airs on February 17, 2008?"
"මම නුබට ඉතුරු කරන්නම් , මගේ ජිවිතේ වැඩි කලක්ම තිබුන වේලාව",I'll leave you with what I've had most every day of my life. - One day.,"I'll spare you, the longest time of my life."
"හරි, හොඳ කාරණයක්.","Okay, good point.","Okay, good point."
මම මගේ ජිවිතයම ඒ වෙනුවෙන් යෙදෙව්වා. මම දැක්කා ඒක කරා කියලා.,And I put my life on the line and I saw it through.,"I gave my life for it, and I saw it coming."
"ඕනේ නෑ, ස්තුතියි. කොහොමද ඕක වුනේ?","No, thank you Welcome How did you get hurt?","No, thank you. How did that happen?"
"मुख्य सञ्झ्यालको बचत स्थान, वाइ समकक्ष ।","The stored position of the main window, the Y coordinate.","The storage space of the main window, the y-coordinate."
ඔයා මැරුණා කියලා පෙන්නුවහම ලෝකයා එයාලගෙ පරීක්ෂාව අඩු කරනවා.,"Fake your death, the world puts its guard down.","When you show that you're dead, the world will lower their test."
ඔයා දැක්කද එයාව?,You see her?,Did you see him?
බෝමෝම ස්තුතියි.,Thank you very much.,"Oh, thank you."
ඒක වඩාත් නරක අතට හැරුනා.,It gets worse.,It got worse.
පල්ලෙහාම තට්ටුවේ දෙවනි බ්ලොක් එකේ.,"Sir... block-2, ground floor...",On the second block downstairs.
"""{0}quot; पुरानो मेल फोल्डर स्थानान्तरण गर्दा समस्या ।","Problem migrating old mail folder ""{0}"".","Problem relocating old mail folder ""{0}quot."
"බැල්කනි(THE BALCONY) : අඩි 27,600 මීටර් 8,412 පාන්දර 04:","THE BALCONY : 27,600 ft 8,412 m 04:30 AM","Balconies: 27,600 feet, 8,412 at 04:00"
විවිධ උපාංග,Miscellaneous Devices,Multiple Devices
सञ्झ्याललाई कार्यक्षेत्र १० मा सार्नुहोस्,Move window to workspace 10,Move window to workspace 10
इस्तोनियन (et),Estonian (et),Estonian (et)
මොනවද අයියේ ඔයා කියන්ෙන?,"What are you saying, brother?","What are you talking about, brother?"
चयन गरिएको निर्यातकर्ता (%s) ले एउटा फाइलमा बहुविध पानाहरू बचत गर्न समर्थन गर्दैन। केवल हालको पाना मात्र बचत हुँनेछ।,"Selected exporter (%s) does not support saving multiple sheets in one file. Only the current sheet will be saved. To get around this limitation, use -S.",The selected exporter (%s) does not support saving multiple sheets in one file. Only the current sheet will be saved.
කවුරුත් හිතුවද අද අලුත් දෙයක්- ඉගෙන ගනීවි කියලා.,anybody thought that today we will get something to learn new..?,Did anyone ever think that today would be a new day?
මේක පිළිගන්නව නම් හොඳයි... ඒක එහෙම නෙවෙයි කියලා බොරුවට අඟවනවට වඩා... ඇත්ත.,It is better to accept this... than to pretend it isn't... true.,It's better to accept this... than pretend it's not true.
ඔයාගෙද? අපේද?,Yours or ours?,Yours?
सामारिन्डा / टेमिन्डङ्ग,Samarinda / Temindung,Samarinda / Temingdong
"මරු,ට්‍රවුසර් එක ටිකක් විතර කොටයි, ඔයා හිතන්නේ නැද්ද එහෙම?","Nice. Trousers are a little bit too short, don't you think?","Great, the trawler's a little thicker, don't you think?"
සොච්චම් ධනයක් රැකගන්න මිනිස්සු ආසාවෙන් ඉන්නවා.,To retain the meager wealth and rank that men desire.,People are eager to save a fortune.
ඒත් ඔයා ඒරන්ව අරගනෙ-,- but you've gotta get Aaron-,But you took Aaron...
ඇයි එයාලට ඕනි උනේ සාක්ෂි විනාෂ කරන්න?,Why would they destroy evidence?,Why would they want to destroy evidence?
දුප්පත් ඇලී.,Poor ali.,Poor Ali.
केडीई अनुप्रयोग मेनुबाट हालै प्रयोग गरिएका कागजातहरूको सूची खाली गर्दछ,Clears the list of recently used documents from the KDE applications menu,Clears the list of currently used documents from the KDE application menu
මම දෙවරක් පරීක්ෂා කරා.,I double-checked.,I checked twice.
මෙතෙන්ටයි මට ඔයාව ඕනා කරන්නේ.,"Now, this is where I need you",That's why I need you.
"Mr. වීර්, ඔබ දන්නවද...","Mr. Veer, you must know..","Mr. Veer, do you know..."
උත්සහ කරන්නම් අල්ල ගන්න.,Try to grab you.,I'll try to catch him.
"अपेक्षित int, %s प्राप्त भयो","Expected int, got %s","Expected int, %s received"
උදාහරණයක් විදියට වෙස්පර් ලින්ඩ්,"Vesper Lynd, for example.","For example, Wesper Lind."
वर्णको नाप मिलाउ,Font scale set,Match Character Size
